method,accuracy,balanced_accuracy,ARI,NMI,macro_f1,weighted_f1,n_cells
guidedpls_stage,0.024656710433998197,0.018981576751003343,0.05625371396438982,0.2371296991984758,0.01034223123330736,0.023517594718910684,9977
guidedpls_germlayer,0.07457151448331162,0.05512856446855171,0.1254320551255292,0.3520373481975586,0.034577465406964845,0.07234684481368371,9977
guidedpls_stage_germlayer,0.16798636864789016,0.13406032152658856,0.17311215393194168,0.4064985745130725,0.07572102351688509,0.14224279787226302,9977
seurat,0.4756940964217701,0.42010046921789934,0.35165487767982273,0.5119634877056459,0.2543288868405581,0.48369106409735696,9977
harmony,0.16898867395008518,0.11760798692377307,0.21858185665648056,0.3850511811327042,0.07845091937321305,0.18341017755700637,9977
scanorama,0.2558885436503959,0.23039566642595555,0.19554481445908392,0.4066030477159074,0.13262981872673665,0.2741210071084365,9977
