method,accuracy,balanced_accuracy,ARI,NMI,macro_f1,weighted_f1,n_cells
guidedpls_none,0.2889973803286497,0.12564540078940592,0.006692861141271398,0.024358249859553992,0.09366870318898837,0.30759759896953937,8398
guidedpls_stage_binned,0.21743272207668493,0.14593598669821142,0.060396191554614266,0.039695333645856555,0.09421510828896737,0.2370611821295374,8398
