method,celltype,f1
guidedpls_stage_germlayer,Mesenchymal stromal cells,0.001893939393939394
guidedpls_stage_germlayer,Neural crest,0.029357798165137616
guidedpls_stage_germlayer,Neural crest (PNS glia),0.022018348623853212
guidedpls_stage_germlayer,Neural crest (PNS neurons),0.025974025974025976
guidedpls_stage_germlayer,Neuromesodermal progenitors,0.1791044776119403
guidedpls_stage_germlayer,Neuron progenitor cells,0.14608695652173914
guidedpls_stage_germlayer,Osteoblast progenitors A,0.027777777777777776
guidedpls_stage_germlayer,Osteoblast progenitors B,0.1686746987951807
guidedpls_stage_germlayer,Paraxial mesoderm,0.0
guidedpls_stage_germlayer,Paraxial mesoderm A,0.039603960396039604
guidedpls_stage_germlayer,Placodal area,0.0
guidedpls_stage_germlayer,Pre-epidermal keratinocytes,0.7197106690777577
guidedpls_stage_germlayer,Primitive erythroid cells,0.0
guidedpls_stage_germlayer,Retinal primordium,0.0
guidedpls_stage_germlayer,Roof plate,0.0
guidedpls_stage_germlayer,Skeletal muscle progenitors,0.0608
guidedpls_stage_germlayer,Somatic mesoderm,0.007104795737122558
guidedpls_stage_germlayer,Spinal cord,0.37366003062787134
guidedpls_stage_germlayer,Spinal cord (dorsal),0.04929577464788732
guidedpls_stage_germlayer,Spinal cord (ventral),0.01841620626151013
guidedpls_stage_germlayer,Splanchnic mesoderm,0.021621621621621623
guidedpls_stage_germlayer,White blood cells,0.0
guidedpls_stage_germlayer,floor plate,0.0
seurat,Amniochorionic mesoderm A,0.5617021276595745
seurat,Amniochorionic mesoderm B,0.3867403314917127
seurat,Cardiomyocytes,0.0
seurat,Chondrocyte and osteoblast progenitors,0.45155555555555554
seurat,Di/telencephalon,0.35774647887323946
seurat,Early chondrocytes,0.20652173913043478
seurat,Endothelium,0.8593350383631714
seurat,Extraembryonic mesoderm,0.46920821114369504
seurat,Extraembryonic visceral endoderm,0.4472049689440994
seurat,First heart field,0.45112781954887216
seurat,Forebrain/midbrain,0.5884016973125884
seurat,Gut,0.3008849557522124
seurat,Hepatocytes,0.18181818181818182
seurat,Hindbrain,0.44529262086513993
seurat,Intermediate mesoderm,0.018867924528301886
seurat,Limb mesenchyme progenitors,0.7413984461709212
seurat,Megakaryocytes,0.0
seurat,Mesencephalon/MHB,0.2997416020671835
seurat,Mesenchymal stromal cells,0.08631772268135904
seurat,Neural crest,0.5546875
seurat,Neural crest (PNS glia),0.6495726495726496
seurat,Neural crest (PNS neurons),0.8551724137931035
seurat,Neuromesodermal progenitors,0.4878048780487805
seurat,Neuron progenitor cells,0.5829145728643216
seurat,Osteoblast progenitors A,0.5206463195691203
seurat,Osteoblast progenitors B,0.5144927536231884
seurat,Paraxial mesoderm,0.0
seurat,Paraxial mesoderm A,0.23501762632197415
seurat,Placodal area,0.12727272727272726
seurat,Pre-epidermal keratinocytes,0.6132264529058116
seurat,Primitive erythroid cells,0.9340937896070975
seurat,Retinal primordium,0.0
seurat,Roof plate,0.0
seurat,Skeletal muscle progenitors,0.5084745762711864
seurat,Somatic mesoderm,0.23553719008264462
seurat,Spinal cord,0.5198675496688742
seurat,Spinal cord (dorsal),0.4835164835164835
seurat,Spinal cord (ventral),0.5254237288135594
seurat,Splanchnic mesoderm,0.20449438202247192
seurat,White blood cells,0.8709677419354839
seurat,floor plate,0.0
harmony,Amniochorionic mesoderm A,0.31868131868131866
harmony,Amniochorionic mesoderm B,0.016260162601626018
harmony,Cardiomyocytes,0.0
harmony,Chondrocyte and osteoblast progenitors,0.024759284731774415
harmony,Di/telencephalon,0.1188118811881188
harmony,Early chondrocytes,0.020833333333333332
harmony,Endothelium,0.851363236587511
harmony,Extraembryonic mesoderm,0.011976047904191617
harmony,Extraembryonic visceral endoderm,0.6239316239316239
harmony,First heart field,0.3557312252964427
harmony,Forebrain/midbrain,0.0
harmony,Gut,0.013574660633484163
harmony,Hepatocytes,0.0
harmony,Hindbrain,0.05664488017429194
harmony,Intermediate mesoderm,0.0
harmony,Limb mesenchyme progenitors,0.06378132118451026
harmony,Megakaryocytes,0.0
harmony,Mesencephalon/MHB,0.06417112299465241
harmony,Mesenchymal stromal cells,0.007889546351084813
harmony,Neural crest,0.0
harmony,Neural crest (PNS glia),0.056338028169014086
harmony,Neural crest (PNS neurons),0.04504504504504504
harmony,Neuromesodermal progenitors,0.0
harmony,Neuron progenitor cells,0.1182108626198083
harmony,Osteoblast progenitors A,0.006430868167202572
harmony,Osteoblast progenitors B,0.0037735849056603774
harmony,Paraxial mesoderm,0.0
harmony,Paraxial mesoderm A,0.0
harmony,Placodal area,0.0
harmony,Pre-epidermal keratinocytes,0.17699115044247787
harmony,Primitive erythroid cells,0.9784688995215312
harmony,Retinal primordium,0.0
harmony,Roof plate,0.017543859649122806
harmony,Skeletal muscle progenitors,0.0297029702970297
harmony,Somatic mesoderm,0.0
harmony,Spinal cord,0.0
harmony,Spinal cord (dorsal),0.07171314741035857
harmony,Spinal cord (ventral),0.016842105263157894
harmony,Splanchnic mesoderm,0.0299625468164794
harmony,White blood cells,0.8429752066115702
harmony,floor plate,0.0
scanorama,Amniochorionic mesoderm A,0.25219941348973607
scanorama,Amniochorionic mesoderm B,0.18571428571428572
scanorama,Cardiomyocytes,0.0970873786407767
